tks_id,work_role_id
T0001,1
T0002,1
T0003,1
T0004,1
T0005,1
T0006,1
T0007,1
T0008,1
T0009,1
T0010,1
T0011,1
T0012,1
K0001,1
K0002,1
K0003,1
K0004,1
K0005,1
K0006,1
K0007,1
K0008,1
K0009,1
K0010,1
K0011,1
S0001,1
S0002,1
S0003,1
S0004,1
S0005,1
S0006,1
S0007,1
S0008,1
S0009,1
S0010,1
S0011,1
S0012,1
S0013,1
S0014,1
S0015,1
S0016,1
T0013,2
T0014,2
T0015,2
T0016,2
T0017,2
T0018,2
T0019,2
T0020,2
T0021,2
T0022,2
T0023,2
K0012,2
K0013,2
K0014,2
K0015,2
K0016,2
K0017,2
K0018,2
K0019,2
K0020,2
K0005,2
K0004,2
K0021,2
K0022,2
S0017,2
S0018,2
S0019,2
S0020,2
S0021,2
S0022,2
T0024,3
T0025,3
T0026,3
T0027,3
T0028,3
T0029,3
T0030,3
T0031,3
T0032,3
T0033,3
T0034,3
T0035,3
K0004,3
K0002,3
K0001,3
K0023,3
K0024,3
S0023,3
S0024,3
S0025,3
S0026,3
S0027,3
S0028,3
S0029,3
S0030,3
T0036,4
T0037,4
T0038,4
T0039,4
T0040,4
T0041,4
T0042,4
T0043,4
T0044,4
T0045,4
T0046,4
T0047,4
K0016,4
K0017,4
K0025,4
K0026,4
K0027,4
K0028,4
K0029,4
K0018,4
K0030,4
K0019,4
K0031,4
K0032,4
K0005,4
S0030,4
S0018,4
S0031,4
S0032,4
S0033,4
S0034,4
S0035,4
S0012,4
S0021,4
S0036,4
T0048,5
T0049,5
T0050,5
T0051,5
T0052,5
T0053,5
T0054,5
T0055,5
T0056,5
T0057,5
T0058,5
T0059,5
K0005,5
K0003,5
K0002,5
K0033,5
K0034,5
K0035,5
K0036,5
K0025,5
K0037,5
K0018,5
K0038,5
K0023,5
K0039,5
K0040,5
K0041,5
S0037,5
S0038,5
S0039,5
S0040,5
S0041,5
S0021,5
S0042,5
S0043,5
S0044,5
S0045,5
T0060,6
T0061,6
T0062,6
T0063,6
T0064,6
T0065,6
T0066,6
T0067,6
T0068,6
T0069,6
T0070,6
T0071,6
K0025,6
K0023,6
K0042,6
K0043,6
K0044,6
K0002,6
K0045,6
K0005,6
S0046,6
S0047,6
S0048,6
S0049,6
S0050,6
S0051,6
S0052,6
S0053,6
T0072,7
T0073,7
T0074,7
T0075,7
T0076,7
T0077,7
T0078,7
T0079,7
K0046,7
K0047,7
K0005,7
K0048,7
K0004,7
K0003,7
K0002,7
K0025,7
S0054,7
S0055,7
S0056,7
S0057,7
S0058,7
S0059,7
S0021,7
S0060,7
S0016,7
T0080,8
T0081,8
T0082,8
T0083,8
T0084,8
T0085,8
T0086,8
T0087,8
T0088,8
T0089,8
K0034,8
K0026,8
K0016,8
K0017,8
K0025,8
K0049,8
K0050,8
K0003,8
K0051,8
K0052,8
K0036,8
S0021,8
S0061,8
S0062,8
S0063,8
S0064,8
S0010,8
S0030,8
T0090,9
T0091,9
T0092,9
T0093,9
T0094,9
T0095,9
T0096,9
T0097,9
T0098,9
T0099,9
T0100,9
T0101,9
K0053,9
K0002,9
K0054,9
K0055,9
K0028,9
S0065,9
S0050,9
S0039,9
S0066,9
S0021,9
S0010,9
S0030,9
T0102,10
T0103,10
T0104,10
T0105,10
T0106,10
T0107,10
T0108,10
T0109,10
K0011,10
K0056,10
K0057,10
K0018,10
K0020,10
K0025,10
K0037,10
K0042,10
K0005,10
K0036,10
S0067,10
S0068,10
S0069,10
S0070,10
S0021,10
S0071,10
T0110,11
T0111,11
T0112,11
T0113,11
T0114,11
T0115,11
K0058,11
K0059,11
K0060,11
K0052,11
K0061,11
K0004,11
K0062,11
K0018,11
K0020,11
K0019,11
K0016,11
K0017,11
K0005,11
S0072,11
S0073,11
S0074,11
S0075,11
S0076,11
T0116,12
T0117,12
T0118,12
T0119,12
T0120,12
T0121,12
T0122,12
T0123,12
K0019,12
K0063,12
K0064,12
K0016,12
K0017,12
K0065,12
K0066,12
K0067,12
K0026,12
K0020,12
K0003,12
K0005,12
S0077,12
S0078,12
S0079,12
S0080,12
S0081,12
S0010,12
S0021,12
S0082,12
S0033,12
S0050,12
S0083,12
